Term,Ont,N,DE,P.DE
membrane-bounded organelle,CC,13019,1799,4.670708824297585e-85
nucleoplasm,CC,3512,727,3.577974000090322e-83
organelle,CC,14144,1888,1.9721433331984275e-80
focal adhesion,CC,405,3,8.297405542121901e-4
cell-substrate adherens junction,CC,408,3,8.477047427772918e-4
cell-substrate junction,CC,412,3,8.720425995823652e-4
adherens junction,CC,546,3,0.001963959863311471
anchoring junction,CC,562,3,0.002133189747686752
cell junction,CC,1298,4,0.002472137173988149
intermediate filament,CC,214,43,2.966448865438712e-33
nucleus,CC,7932,1281,1.3897208819646104e-169
nucleoplasm,CC,3512,792,3.6108989693774643e-165
nuclear part,CC,5023,940,8.060351612588164e-145
nuclear lumen,CC,4594,880,1.1682553481049445e-138
intracellular part,CC,15063,1723,2.7882970315022886e-109
intracellular,CC,15073,1723,7.343372022201866e-109
intracellular membrane-bounded organelle,CC,11488,1471,6.827519383785735e-107
intracellular organelle lumen,CC,5740,936,1.7668173889744112e-102
membrane-enclosed lumen,CC,5740,936,1.7668173889744112e-102
organelle lumen,CC,5740,936,1.7668173889744112e-102
intracellular organelle,CC,13294,1596,8.83364916626814e-102
cytoplasmic part,CC,9735,463,4.24241411196697e-21
cytoplasm,CC,11625,525,6.543512905906458e-21
intracellular part,CC,15063,620,4.981713856810765e-18
intracellular,CC,15073,620,6.353738359198402e-18
cytosol,CC,5085,277,4.95206173244601e-17
synapse,CC,1171,96,3.935690021073598e-15
neuron part,CC,1729,122,3.343493878688194e-14
synapse part,CC,938,81,4.4112666105085424e-14
axon,CC,606,60,3.663108123923314e-13
postsynapse,CC,613,60,6.012820595002475e-13
organelle,CC,14144,574,6.21059793574104e-12
