RAWID,TCGAID
ee71109e-00a1-4b23-a250-7fc1a745b2cf_gdc_realn_rehead.bam,TCGA-12-5295-01A-01R-1849-01.bam
f0607c6a-93e4-44f1-ae29-570ac13bada3_gdc_realn_rehead.bam,TCGA-06-2570-01A-01R-1849-01.bam
f22c33a8-e787-4465-ae14-db666129381f_gdc_realn_rehead.bam,TCGA-06-0184-01A-01R-1849-01.bam
f72f58ea-8d37-4beb-b334-20206cdba1d4_gdc_realn_rehead.bam,TCGA-26-5132-01A-01R-1850-01.bam
f809db82-3837-4582-b1a4-823b6d27e65b_gdc_realn_rehead.bam,TCGA-41-2571-01A-01R-1850-01.bam
f871cb37-1c5a-4d8b-8ddf-fabda604fcf4_gdc_realn_rehead.bam,TCGA-02-2486-01A-01R-1849-01.bam
f894d20f-dd00-45ce-ab96-694cab31b782_gdc_realn_rehead.bam,TCGA-19-2624-01A-01R-1850-01.bam
fa57e4e0-04a8-4d7b-ac24-948f2930b36a_gdc_realn_rehead.bam,TCGA-26-5133-01A-01R-1850-01.bam
fabdb2b7-2e32-42bc-aa6d-20cfefaa6ee3_gdc_realn_rehead.bam,TCGA-14-1823-01A-01R-1849-01.bam
faceab45-4de0-4326-aad7-885f9cfa5d2c_gdc_realn_rehead.bam,TCGA-06-0139-01A-01R-1849-01.bam
fc534c42-60c7-495c-926b-39768a06d4c3_gdc_realn_rehead.bam,TCGA-14-0789-01A-01R-1849-01.bam
fcec5010-c59b-4dbd-87bb-d4b3c63956ef_gdc_realn_rehead.bam,TCGA-28-2499-01A-01R-1850-01.bam
fd475625-51de-4b53-936f-824a24dc866a_gdc_realn_rehead.bam,TCGA-02-2483-01A-01R-1849-01.bam
fddd420e-1b94-4b88-993e-355291d8d74a_gdc_realn_rehead.bam,TCGA-32-1970-01A-01R-1850-01.bam
fe622e5b-335d-4775-801f-45fd21a18574_gdc_realn_rehead.bam,TCGA-28-5204-01A-01R-1850-01.bam
