SAMPID	SMTSD
GTEX-YFC4-3126-SM-5PNV6	Cortex
GTEX-YJ89-3026-SM-5IFJI	Cortex
GTEX-Z93S-2926-SM-57WB9	Cortex
GTEX-ZAJG-3126-SM-5HL9J	Cortex
GTEX-ZAK1-3026-SM-5S2MJ	Cortex
GTEX-ZDXO-2126-SM-4WKFI	Cortex
GTEX-ZE7O-3126-SM-5HL5X	Cortex
GTEX-ZE9C-3026-SM-4WKHB	Cortex
GTEX-ZF28-3026-SM-4WKHP	Cortex
GTEX-ZUA1-3026-SM-59HJC	Cortex
GTEX-ZVT3-3026-SM-5E43N	Cortex
GTEX-ZYFD-3026-SM-5E44C	Cortex
GTEX-ZYY3-3126-SM-5SI9L	Cortex
GTEX-ZZPT-3026-SM-5GZXH	Cortex
