target,role,tag
MTAP,TSG,cancermine
MXI1,TSG,cancermine
NUAK1,ONC,cancermine
PAK4,ONC,cancermine
PAQR3,TSG,cancermine
PBK,ONC,cancermine
PCDH8,TSG,cancermine
PLAGL2,ONC,cancermine
POU3F2,ONC,cancermine
PPP1R13L,ONC,cancermine
PSMA6,ONC,cancermine
PTK2B,ONC,cancermine
PTPN13,TSG,cancermine
RBM5,TSG,cancermine
ROCK1,ONC,cancermine
ROR1,ONC,cancermine
RRM2,ONC,cancermine
SATB1,ONC,cancermine
SENP2,TSG,cancermine
SFN,ONC,cancermine
SLC2A1,ONC,cancermine
SLC39A1,TSG,cancermine
SMYD4,TSG,cancermine
SULF2,ONC,cancermine
TCF4,ONC,cancermine
TP53INP2,ONC,cancermine
TPD52,ONC,cancermine
TRAF3,TSG,cancermine
TXNIP,TSG,cancermine
ABCB1,ONC,cancermine
AFAP1,ONC,cancermine
AFF1,ONC,cancermine
AGR2,ONC,cancermine
AKAP12,TSG,cancermine
ARID1B,TSG,cancermine
AZGP1,TSG,cancermine
BIRC3,ONC,cancermine
BLCAP,TSG,cancermine
BRIP1,TSG,cancermine
CASZ1,TSG,cancermine
CCND3,ONC,cancermine
CLCA2,TSG,cancermine
CLDN1,TSG,cancermine
CXCL1,ONC,cancermine
DCUN1D1,ONC,cancermine
DTL,ONC,cancermine
EIF5A2,ONC,cancermine
EPO,ONC,cancermine
FGF3,ONC,cancermine
FGF5,ONC,cancermine
FOSL1,ONC,cancermine
FOXD3,TSG,cancermine
GLI3,ONC,cancermine
GPX3,TSG,cancermine
GSTP1,TSG,cancermine
HMMR,ONC,cancermine
HOXD10,TSG,cancermine
ILF2,ONC,cancermine
ING3,TSG,cancermine
IRS2,ONC,cancermine
ITIH5,TSG,cancermine
KAT6A,ONC,cancermine
KLF2,TSG,cancermine
KLF8,ONC,cancermine
LIFR,TSG,cancermine
LRRC4,TSG,cancermine
MAP2K1,ONC,cancermine
MNX1,ONC,cancermine
NFATC1,ONC,cancermine
NFATC2,ONC,cancermine
NKAP,ONC,cancermine
NLK,TSG,cancermine
NR2E1,ONC,cancermine
NR5A2,ONC,cancermine
PAX8,ONC,cancermine
PHGDH,ONC,cancermine
PROM1,ONC,cancermine
PTRH2,TSG,cancermine
PTTG1IP,ONC,cancermine
RAN,ONC,cancermine
RARRES1,TSG,cancermine
RASSF2,TSG,cancermine
RASSF8,TSG,cancermine
RICTOR,ONC,cancermine
RIPK1,ONC,cancermine
RRAS2,ONC,cancermine
SASH1,TSG,cancermine
SATB2,TSG,cancermine
SGK3,ONC,cancermine
SMAD2,TSG,cancermine
SOX17,TSG,cancermine
SOX6,TSG,cancermine
SRF,ONC,cancermine
SUSD2,TSG,cancermine
TBX5,TSG,cancermine
THRA,ONC,cancermine
TOB1,TSG,cancermine
TPX2,ONC,cancermine
TRIM25,ONC,cancermine
UNC5D,TSG,cancermine
WNT10A,ONC,cancermine
