File Name,TUCR.Run.20190717 (CELLFRAC U44.U48.GAPDH.PPIA.62.110.210.427).pcrd,,,,,,
Created By User,admin,,,,,,
Notes,,,,,,,
ID,,,,,,,
Run Started,07/17/2019 21:06:12 UTC,,,,,,
Run Ended,07/17/2019 23:26:53 UTC,,,,,,
Sample Vol,20,,,,,,
Lid Temp,105,,,,,,
Protocol File Name,qPCR Protocol (TUCRs).prcl,,,,,,
Plate Setup File Name,RUN1.pltd,,,,,,
Base Serial Number,BR004664,,,,,,
Optical Head Serial Number,788BR04573,,,,,,
CFX Manager Version,3.1.1517.0823. ,,,,,,
,,,,,,,
Well group,All Wells,,,,,,
Amplification step,3,,,,,,
Melt step,7,,,,,,
,,,,,,,
,,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),End RFU
E12,SYBR,uc.427,Unkn,U87 NF,27.4489214,NaN,2748.423862
E01,SYBR,uc.62,Unkn,U87 NF,30.19612129,NaN,1942.973871
E02,SYBR,uc.62,Unkn,U87 NF,30.28510624,NaN,1853.70635
E03,SYBR,uc.62,Unkn,U87 NF,29.90117769,NaN,2120.940284
A01,SYBR,U44,Unkn,A172 NF,26.67813588,NaN,2241.88421
A02,SYBR,U44,Unkn,A172 NF,26.37441078,NaN,2420.696634
A03,SYBR,U44,Unkn,A172 NF,26.83547088,NaN,2355.185981
A04,SYBR,U48,Unkn,A172 NF,22.10945648,NaN,1561.783183
A05,SYBR,U48,Unkn,A172 NF,22.39316151,NaN,1511.322521
A06,SYBR,U48,Unkn,A172 NF,22.51263649,NaN,1464.143047
A07,SYBR,GAPDH,Unkn,A172 NF,16.68278215,NaN,2391.740985
A08,SYBR,GAPDH,Unkn,A172 NF,16.72208005,NaN,2233.148459
A09,SYBR,GAPDH,Unkn,A172 NF,16.82506303,NaN,2056.124686
A10,SYBR,PPIA,Unkn,A172 NF,15.48112846,NaN,2354.970773
A11,SYBR,PPIA,Unkn,A172 NF,15.72949865,NaN,2162.552373
