target,driver_citations,oncogene_citations,tumor_suppressor_citations,all_citations,No_driver,role
MYC,642,2014,6,2662,2020,ONC
EGFR,397,1308,7,1712,1315,ONC
RET,35,1250,6,1291,1256,ONC
ABL1,90,1015,1,1106,1016,ONC
TP53,127,162,803,1092,965,TSG
BRAF,250,758,2,1010,760,ONC
ERBB2,173,709,2,884,711,ONC
KRAS,124,708,2,834,710,ONC
KIT,111,522,1,634,523,ONC
PTEN,117,31,463,611,494,TSG
MYCN,119,446,6,571,452,ONC
RB1,5,10,470,485,480,TSG
WT1,0,56,425,481,481,TSG
NRAS,99,286,1,386,287,ONC
ALK,123,236,1,360,237,ONC
CDKN2A,21,67,238,326,305,TSG
MET,13,247,2,262,249,ONC
FOS,2,258,0,260,258,ONC
BRCA1,13,4,218,235,222,TSG
APC,32,12,177,221,189,TSG
BCL2,10,197,6,213,203,ONC
CCND1,10,187,1,198,188,ONC
VHL,4,47,144,195,191,TSG
YAP1,21,149,21,191,170,ONC
AKT1,58,116,6,180,122,ONC
NOTCH1,38,95,41,174,136,ONC/TSG
MYB,7,156,2,165,158,ONC
EWSR1,17,140,2,159,142,ONC
RUNX3,0,18,138,156,156,TSG
CDH1,10,44,97,151,141,ONC/TSG
PIK3CA,53,91,2,146,93,ONC
KLF4,0,44,100,144,144,ONC/TSG
HRAS,19,118,0,137,118,ONC
STAT3,14,103,13,130,116,ONC
ROS1,25,97,2,124,99,ONC
EZH2,19,80,24,123,104,ONC
BCR,23,96,3,122,99,ONC
GLI1,5,114,1,120,115,ONC
SHH,80,35,0,115,35,ONC
SRC,10,104,1,115,105,ONC
JUN,2,107,0,109,107,ONC
BCL6,1,85,1,87,86,ONC
STK11,15,9,63,87,72,TSG
RASSF1,0,2,83,85,85,TSG
CTNNB1,6,77,0,83,77,ONC
PML,3,39,41,83,80,ONC/TSG
NF1,23,9,49,81,58,TSG
PDGFRA,39,38,0,77,38,ONC
SOX2,2,70,4,76,74,ONC
HGF,10,64,0,74,64,ONC
MARK2,0,73,0,73,73,ONC
MITF,12,58,2,72,60,ONC
SMAD4,3,9,60,72,69,TSG
MEN1,1,18,52,71,70,ONC/TSG
LMO2,4,64,0,68,64,ONC
MTDH,2,65,1,68,66,ONC
CDKN1A,0,34,32,66,66,ONC/TSG
MDM2,1,63,2,66,65,ONC
TAZ,11,54,1,66,55,ONC
ERG,10,54,0,64,54,ONC
RUNX1,4,31,28,63,59,ONC/TSG
BRCA2,2,2,58,62,60,TSG
EGF,12,50,0,62,50,ONC
FOXM1,5,53,4,62,57,ONC
CD274,4,57,0,61,57,ONC
CADM1,0,1,57,58,58,TSG
MTOR,12,41,3,56,44,ONC
PDGFB,28,26,2,56,28,ONC
NTRK1,4,49,2,55,51,ONC
AR,38,12,4,54,16,ONC
VEGFA,19,30,4,53,34,ONC
NF2,5,6,39,50,45,TSG
NFKB1,0,47,2,49,49,ONC
SYK,5,12,32,49,44,ONC/TSG
TERT,5,43,1,49,44,ONC
FHIT,0,20,27,47,47,ONC/TSG
PTTG1,0,47,0,47,47,ONC
CSF1R,1,45,0,46,45,ONC
TAL1,6,40,0,46,40,ONC
ARID1A,6,8,31,45,39,TSG
WWOX,1,3,41,45,44,TSG
BAP1,5,0,39,44,39,TSG
FOXP1,0,32,12,44,44,ONC/TSG
KLF6,0,1,43,44,44,TSG
CDK16,0,43,0,43,43,ONC
PTCH1,6,20,17,43,37,ONC/TSG
TCL1A,4,38,1,43,39,ONC
FOXO1,1,12,29,42,41,ONC/TSG
PTGS2,7,32,3,42,35,ONC
FGFR1,12,29,0,41,29,ONC
MAF,0,39,2,41,41,ONC
PTGDR,2,32,7,41,39,ONC
CBL,3,34,3,40,37,ONC
PTPN11,5,27,8,40,35,ONC
SLC3A2,2,38,0,40,38,ONC
CDKN1B,0,11,28,39,39,ONC/TSG
PI3,14,25,0,39,25,ONC
WNT5A,8,15,16,39,31,ONC/TSG
CDK8,1,36,1,38,37,ONC
MAPK1,8,29,1,38,30,ONC
TWSG1,0,3,35,38,38,TSG
BCL2L1,1,36,0,37,36,ONC
DLC1,0,1,36,37,37,TSG
ETS1,0,36,1,37,37,ONC
RAF1,0,37,0,37,37,ONC
RARA,6,25,6,37,31,ONC
SMARCB1,3,6,28,37,34,TSG
SOX4,2,27,8,37,35,ONC
FBXW7,3,8,25,36,33,TSG
NDRG2,0,3,33,36,36,TSG
TNFAIP3,0,10,26,36,36,ONC/TSG
EGR1,0,17,18,35,35,ONC/TSG
FGFR3,4,31,0,35,31,ONC
FOXP3,2,6,26,34,32,TSG
IL6,11,21,2,34,23,ONC
PDCD4,0,19,15,34,34,ONC/TSG
SIRT1,0,19,15,34,34,ONC/TSG
E2F1,5,15,13,33,28,ONC/TSG
JAK2,8,25,0,33,25,ONC
SERPINB5,0,1,32,33,33,TSG
SETD2,3,2,28,33,30,TSG
SKP2,1,31,1,33,32,ONC
NPM1,5,25,2,32,27,ONC
RBMS3,0,24,8,32,32,ONC
SIRT6,2,15,15,32,30,ONC/TSG
MLLT3,22,9,0,31,9,ONC
NFIB,7,18,6,31,24,ONC
NKX3-1,0,2,29,31,31,TSG
IDH1,12,11,7,30,18,ONC/TSG
MAPK8,1,24,5,30,29,ONC
AXL,4,22,3,29,25,ONC
DEK,0,29,0,29,29,ONC
FOXO3,2,6,21,29,27,TSG
ID4,2,13,14,29,27,ONC/TSG
MAP2K7,7,20,2,29,22,ONC
NKX2-1,0,28,1,29,29,ONC
UCHL1,0,20,9,29,29,ONC/TSG
ATM,7,8,13,28,21,ONC/TSG
KLF5,0,14,14,28,28,ONC/TSG
SPOP,7,5,16,28,21,TSG
TUSC3,0,10,18,28,28,ONC/TSG
ZEB1,11,13,4,28,17,ONC
CDK4,2,17,8,27,25,ONC/TSG
CDKN2B,0,4,23,27,27,TSG
HMGA2,3,23,1,27,24,ONC
PAX6,0,6,21,27,27,TSG
PRRT2,1,20,6,27,26,ONC
REL,3,24,0,27,24,ONC
SETDB1,2,25,0,27,25,ONC
SOX9,4,17,6,27,23,ONC/TSG
YBX1,2,25,0,27,25,ONC
CHD5,0,0,26,26,26,TSG
CRNDE,0,26,0,26,26,ONC
FHL2,0,14,12,26,26,ONC/TSG
HPGD,0,1,25,26,26,TSG
KDM6A,6,5,15,26,20,TSG
KL,0,2,24,26,26,TSG
PTPRD,0,1,25,26,26,TSG
TCF3,1,12,13,26,25,ONC/TSG
TET1,1,9,16,26,25,ONC/TSG
ZBTB7A,0,17,9,26,26,ONC/TSG
AURKA,1,22,2,25,24,ONC
DDX3X,2,15,8,25,23,ONC/TSG
ERBB3,9,16,0,25,16,ONC
INS,7,17,1,25,18,ONC
METTL3,0,18,7,25,25,ONC/TSG
NCOA3,3,22,0,25,22,ONC
OTX2,2,23,0,25,23,ONC
RAB25,1,8,16,25,24,ONC/TSG
SPARC,2,6,17,25,23,ONC/TSG
CDX2,1,8,15,24,23,ONC/TSG
FTO,0,23,1,24,24,ONC
IRF4,1,22,1,24,23,ONC
LOX,2,9,13,24,22,ONC/TSG
MUC1,0,24,0,24,24,ONC
STAT1,0,3,21,24,24,TSG
TET2,3,3,18,24,21,TSG
ZNF703,1,23,0,24,23,ONC
ESR2,1,19,3,23,22,ONC
ETV6,3,17,3,23,20,ONC
FASN,1,22,0,23,22,ONC
IRF8,0,5,18,23,23,TSG
PCNA,0,22,1,23,23,ONC
PTPN12,0,6,17,23,23,ONC/TSG
TP63,3,17,3,23,20,ONC
WNT1,5,18,0,23,18,ONC
DCC,0,0,22,22,22,TSG
EPHA2,2,19,1,22,20,ONC
FOXA1,4,16,2,22,18,ONC
INPP4B,0,9,13,22,22,ONC/TSG
TFF1,0,7,15,22,22,ONC/TSG
TLX1,3,18,1,22,19,ONC
ATF3,0,14,7,21,21,ONC/TSG
GNAQ,9,12,0,21,12,ONC
HMGA1,4,16,1,21,17,ONC
LMO1,0,21,0,21,21,ONC
PIM1,1,20,0,21,20,ONC
TCF21,0,0,21,21,21,TSG
AKT2,4,12,4,20,16,ONC
ATF2,1,16,3,20,19,ONC
CDKN2C,0,2,18,20,20,TSG
CDKN3,0,17,3,20,20,ONC
DIRAS3,0,0,20,20,20,TSG
EML4,1,19,0,20,19,ONC
ESR1,8,7,5,20,12,ONC/TSG
FLCN,0,3,17,20,20,TSG
FLI1,3,16,1,20,17,ONC
FUS,2,17,1,20,18,ONC
GFAP,4,11,5,20,16,ONC/TSG
MST1R,3,17,0,20,17,ONC
NTN1,1,17,2,20,19,ONC
QKI,1,0,19,20,19,TSG
SIRT3,0,2,18,20,20,TSG
SOCS1,0,5,15,20,20,TSG
TFCP2,0,18,2,20,20,ONC
AHR,3,9,7,19,16,ONC/TSG
CAV1,0,4,15,19,19,TSG
CBX7,0,9,10,19,19,ONC/TSG
CDC73,0,1,18,19,19,TSG
EIF4E,2,15,2,19,17,ONC
EPHA7,1,2,16,19,18,TSG
FGFR2,5,12,2,19,14,ONC
GNAS,0,17,2,19,19,ONC
HOXA9,2,14,3,19,17,ONC
IKZF1,1,6,12,19,18,ONC/TSG
KDM5B,0,16,3,19,19,ONC
MYD88,4,15,0,19,15,ONC
SMARCA4,5,6,8,19,14,ONC/TSG
TRIM3,0,0,19,19,19,TSG
TWIST1,5,12,2,19,14,ONC
CTCF,1,13,4,18,17,ONC
CYLD,1,1,16,18,17,TSG
DAB2IP,2,1,15,18,16,TSG
FOXC1,0,17,1,18,18,ONC
GNMT,0,5,13,18,18,ONC/TSG
GOLPH3,0,18,0,18,18,ONC
MCL1,3,15,0,18,15,ONC
NOTCH2,1,6,11,18,17,ONC/TSG
NR4A1,0,13,5,18,18,ONC/TSG
NUMB,0,10,8,18,18,ONC/TSG
PELP1,3,15,0,18,15,ONC
PRDM1,1,1,16,18,17,TSG
TP73,3,0,15,18,15,TSG
URI1,0,18,0,18,18,ONC
CDC20,2,15,0,17,15,ONC
CRKL,0,17,0,17,17,ONC
DNMT1,0,5,12,17,17,ONC/TSG
EMP3,0,4,13,17,17,TSG
HIC1,0,0,17,17,17,TSG
IGFBP7,0,1,16,17,17,TSG
IRF1,0,2,15,17,17,TSG
LIN28B,7,10,0,17,10,ONC
MACC1,0,17,0,17,17,ONC
MAP2K4,0,7,10,17,17,ONC/TSG
NCOA4,0,17,0,17,17,ONC
NGF,0,16,1,17,17,ONC
PDLIM7,3,13,1,17,14,ONC
PPM1D,0,17,0,17,17,ONC
RELA,1,15,1,17,16,ONC
RHOA,4,11,2,17,13,ONC
TRIM29,2,11,4,17,15,ONC/TSG
ATOH1,0,2,14,16,16,TSG
BCL3,0,16,0,16,16,ONC
CDKN1C,0,4,12,16,16,TSG
CREB1,1,14,1,16,15,ONC
CXCR4,4,9,3,16,12,ONC
DNMT3A,2,7,7,16,14,ONC/TSG
HMGB1,0,7,9,16,16,ONC/TSG
IKBKE,1,15,0,16,15,ONC
ING4,0,2,14,16,16,TSG
KIF14,0,14,2,16,16,ONC
MECOM,0,16,0,16,16,ONC
NDRG1,0,6,10,16,16,ONC/TSG
NR4A3,0,3,13,16,16,TSG
PAX5,0,5,11,16,16,ONC/TSG
PBX1,1,14,1,16,15,ONC
PIN1,1,12,3,16,15,ONC
PLK1,1,11,4,16,15,ONC/TSG
PRDM2,0,1,15,16,16,TSG
RAP1GAP,0,0,16,16,16,TSG
TES,0,6,10,16,16,ONC/TSG
TRIB2,0,15,1,16,16,ONC
ZEB2,2,12,2,16,14,ONC
ZIC1,0,5,11,16,16,ONC/TSG
BECN1,1,1,13,15,14,TSG
BRD7,0,1,14,15,15,TSG
CFTR,0,5,10,15,15,ONC/TSG
CUL4A,0,15,0,15,15,ONC
DAB2,0,2,13,15,15,TSG
EP300,0,4,11,15,15,ONC/TSG
EYA4,0,3,12,15,15,TSG
FLT3,7,8,0,15,8,ONC
KDM4C,0,15,0,15,15,ONC
MAP3K8,2,12,1,15,13,ONC
MEIS1,4,9,2,15,11,ONC
PRAM1,0,15,0,15,15,ONC
PTPN6,0,1,14,15,15,TSG
SALL4,0,15,0,15,15,ONC
TNS4,0,13,2,15,15,ONC
TRIM24,1,12,2,15,14,ONC
VAV1,2,11,2,15,13,ONC
ANXA7,0,0,14,14,14,TSG
ARTN,0,13,1,14,14,ONC
ERBB4,3,5,6,14,11,ONC/TSG
ETS2,1,5,8,14,13,ONC/TSG
FBXO31,0,2,12,14,14,TSG
HSP90AA1,1,13,0,14,13,ONC
IGF1R,6,5,3,14,8,ONC/TSG
KANK1,0,0,14,14,14,TSG
KITLG,3,11,0,14,11,ONC
MALT1,4,10,0,14,10,ONC
NTRK3,0,9,5,14,14,ONC/TSG
PAWR,1,4,9,14,13,ONC/TSG
PTPN1,0,10,4,14,14,ONC/TSG
RHOBTB2,0,1,13,14,14,TSG
RRAS,0,14,0,14,14,ONC
RUNX2,2,10,2,14,12,ONC
SIRT2,0,7,7,14,14,ONC/TSG
SP1,3,8,3,14,11,ONC/TSG
SPDEF,1,6,7,14,13,ONC/TSG
TTF1,0,12,2,14,14,ONC
UHRF1,1,11,2,14,13,ONC
ZNF217,1,13,0,14,13,ONC
BCL11A,0,12,1,13,13,ONC
BCL11B,1,2,10,13,12,TSG
BIRC5,1,12,0,13,12,ONC
BRF2,1,12,0,13,12,ONC
CACNA2D3,0,0,13,13,13,TSG
CD44,6,6,1,13,7,ONC
CDH13,0,5,8,13,13,ONC/TSG
DKK3,0,2,11,13,13,TSG
GAB2,1,12,0,13,12,ONC
GPRC5A,0,2,11,13,13,TSG
HDAC6,0,12,1,13,13,ONC
HOPX,0,1,12,13,13,TSG
IGF1,4,8,1,13,9,ONC
ING1,0,1,12,13,13,TSG
KDM2B,0,10,3,13,13,ONC
LRIG1,0,1,12,13,13,TSG
MAPK14,2,7,4,13,11,ONC/TSG
MDM4,4,8,1,13,9,ONC
MPL,1,12,0,13,12,ONC
PDGFA,8,5,0,13,5,ONC
PLCE1,1,9,3,13,12,ONC
PTK6,2,5,6,13,11,ONC/TSG
PXN,0,13,0,13,13,ONC
RBL1,0,1,12,13,13,TSG
RBM38,0,5,8,13,13,ONC/TSG
SLC9A3R1,1,2,10,13,12,TSG
SPI1,1,5,7,13,12,ONC/TSG
SPRY2,1,2,10,13,12,TSG
TFAP2A,0,3,10,13,13,TSG
TFF3,1,10,2,13,12,ONC
TGFBI,0,8,5,13,13,ONC/TSG
THY1,0,1,12,13,13,TSG
TRAF6,0,13,0,13,13,ONC
ZFHX3,0,0,13,13,13,TSG
BEX1,0,0,12,12,12,TSG
CASR,0,4,8,12,12,ONC/TSG
CDH2,0,12,0,12,12,ONC
CEACAM1,1,0,11,12,11,TSG
DAPK1,0,4,8,12,12,ONC/TSG
DICER1,2,0,10,12,10,TSG
ECT2,0,12,0,12,12,ONC
FGFR4,5,6,1,12,7,ONC
FOXF1,0,2,10,12,12,TSG
FOXQ1,1,10,1,12,11,ONC
GATA3,4,1,7,12,8,TSG
GFI1,1,10,1,12,11,ONC
GNA11,6,6,0,12,6,ONC
HSF1,5,7,0,12,7,ONC
KDM2A,0,10,2,12,12,ONC
MCC,0,2,10,12,12,TSG
MOS,0,12,0,12,12,ONC
MYBL2,0,10,2,12,12,ONC
NGFR,0,2,10,12,12,TSG
NOTCH3,1,8,3,12,11,ONC/TSG
PLXNB1,0,6,6,12,12,ONC/TSG
PRL,2,10,0,12,10,ONC
PROX1,1,4,7,12,11,ONC/TSG
PTP4A3,0,10,2,12,12,ONC
RAC1,7,4,1,12,5,ONC
RASSF10,0,0,12,12,12,TSG
SEMA3B,0,0,12,12,12,TSG
SFRP1,0,2,10,12,12,TSG
SOX7,0,2,10,12,12,TSG
TBX3,2,9,1,12,10,ONC
TNF,0,12,0,12,12,ONC
VAV3,0,12,0,12,12,ONC
WIF1,0,2,10,12,12,TSG
ALDH1A2,0,0,11,11,11,TSG
CDC42,4,6,1,11,7,ONC
CDK6,4,6,1,11,7,ONC
EPHB2,1,0,10,11,10,TSG
FAT1,1,4,6,11,10,ONC/TSG
GJA1,0,4,7,11,11,ONC/TSG
GPC3,0,6,5,11,11,ONC/TSG
HK2,0,10,1,11,11,ONC
HNF1A,0,6,5,11,11,ONC/TSG
ID1,1,10,0,11,10,ONC
IGFBP2,4,6,1,11,7,ONC
LETMD1,0,11,0,11,11,ONC
MCTS1,0,11,0,11,11,ONC
MELK,1,10,0,11,10,ONC
MIF,4,7,0,11,7,ONC
NDRG4,0,2,9,11,11,TSG
NR1H4,0,4,7,11,11,ONC/TSG
OPCML,0,1,10,11,11,TSG
RBL2,0,4,7,11,11,ONC/TSG
S100B,0,3,8,11,11,ONC/TSG
SLC5A8,0,0,11,11,11,TSG
SMO,5,6,0,11,6,ONC
SNAI1,5,4,2,11,6,ONC/TSG
SNCG,0,11,0,11,11,ONC
SOCS3,0,1,10,11,11,TSG
SOD2,1,2,8,11,10,TSG
SQSTM1,0,9,2,11,11,ONC
SRSF1,1,10,0,11,10,ONC
STARD13,0,0,11,11,11,TSG
STIM1,0,6,5,11,11,ONC/TSG
SULF1,0,1,10,11,11,TSG
TBX2,2,6,3,11,9,ONC/TSG
TFPI2,0,1,10,11,11,TSG
TLE1,0,7,4,11,11,ONC/TSG
TRIM11,0,11,0,11,11,ONC
TRIM27,1,10,0,11,10,ONC
USP22,2,9,0,11,9,ONC
WTAP,0,11,0,11,11,ONC
WWP1,0,9,2,11,11,ONC
BTG2,0,4,6,10,10,ONC/TSG
CHD1L,0,10,0,10,10,ONC
CSF1,1,9,0,10,9,ONC
CSF2,1,9,0,10,9,ONC
DACT2,1,0,9,10,9,TSG
DLEC1,0,0,10,10,10,TSG
EPB41L3,0,0,10,10,10,TSG
FLVCR1,2,4,4,10,8,ONC/TSG
FOXR2,1,9,0,10,9,ONC
GDF15,0,3,7,10,10,ONC/TSG
GTPBP4,0,10,0,10,10,ONC
HOXA1,1,9,0,10,9,ONC
IL10,3,7,0,10,7,ONC
ITCH,0,2,8,10,10,TSG
KDM1A,1,7,2,10,9,ONC
KDM6B,1,5,4,10,9,ONC/TSG
KISS1,0,0,10,10,10,TSG
MAP3K7,1,4,5,10,9,ONC/TSG
MECP2,0,10,0,10,10,ONC
PAK1,1,9,0,10,9,ONC
PBRM1,1,0,9,10,9,TSG
PCDH10,0,0,10,10,10,TSG
PCDH17,0,0,10,10,10,TSG
PER2,0,1,9,10,10,TSG
PHB,0,4,6,10,10,ONC/TSG
PIWIL1,0,10,0,10,10,ONC
PRKCI,0,10,0,10,10,ONC
PRMT5,3,7,0,10,7,ONC
PRR11,0,10,0,10,10,ONC
PSCA,1,4,5,10,9,ONC/TSG
PSMD10,0,9,1,10,10,ONC
PTPRJ,0,0,10,10,10,TSG
PTPRK,0,1,9,10,10,TSG
PTPRO,0,1,9,10,10,TSG
RAB1A,0,10,0,10,10,ONC
RAB22A,0,10,0,10,10,ONC
RAP1A,0,5,5,10,10,ONC/TSG
RELB,2,8,0,10,8,ONC
RPRM,0,1,9,10,10,TSG
RPS6KA6,0,1,9,10,10,TSG
SERPINB3,2,6,2,10,8,ONC
SIRT7,0,10,0,10,10,ONC
SMAD3,1,2,7,10,9,TSG
SNAI2,2,6,2,10,8,ONC
SPRY4,0,4,6,10,10,ONC/TSG
TFG,0,10,0,10,10,ONC
TGFB1,1,8,1,10,9,ONC
TP53INP1,0,1,9,10,10,TSG
TTN,1,9,0,10,9,ONC
USP4,0,4,6,10,10,ONC/TSG
USP9X,1,0,9,10,9,TSG
YY1,0,6,4,10,10,ONC/TSG
ZBTB16,1,8,1,10,9,ONC
ZFP36,0,2,8,10,10,TSG
ABHD5,0,2,7,9,9,TSG
ADAMTS9,0,0,9,9,9,TSG
AIM2,0,2,7,9,9,TSG
ANXA6,0,0,9,9,9,TSG
BCL6B,0,1,8,9,9,TSG
BIRC2,0,9,0,9,9,ONC
BTG3,0,0,9,9,9,TSG
CALR,2,7,0,9,7,ONC
CCNE1,0,9,0,9,9,ONC
CDH3,0,7,2,9,9,ONC
CDH4,0,1,8,9,9,TSG
CHEK1,0,7,2,9,9,ONC
CHL1,1,2,6,9,8,TSG
CIC,3,0,6,9,6,TSG
CREBBP,0,4,5,9,9,ONC/TSG
CST6,0,0,9,9,9,TSG
CTBP1,0,5,4,9,9,ONC/TSG
DNMT3B,1,1,7,9,8,TSG
DUSP6,0,2,7,9,9,TSG
E2F3,1,6,2,9,8,ONC
E2F5,0,8,1,9,9,ONC
EEF1A2,0,9,0,9,9,ONC
EGLN1,0,1,8,9,9,TSG
ETV1,0,9,0,9,9,ONC
FAS,1,5,3,9,8,ONC/TSG
FAT4,0,0,9,9,9,TSG
FBP1,0,1,8,9,9,TSG
FLII,2,7,0,9,7,ONC
FLT1,2,7,0,9,7,ONC
FOXF2,1,5,3,9,8,ONC/TSG
FUT1,2,7,0,9,7,ONC
GATA6,0,6,3,9,9,ONC/TSG
GKN1,0,3,6,9,9,ONC/TSG
GLIPR1,0,1,8,9,9,TSG
HACE1,0,0,9,9,9,TSG
HIF1A,3,4,2,9,6,ONC/TSG
HTATIP2,0,0,9,9,9,TSG
IGF2,2,6,1,9,7,ONC
IL11,1,8,0,9,8,ONC
IL2,4,4,1,9,5,ONC
IL24,0,2,7,9,9,TSG
IRX1,0,1,8,9,9,TSG
KIF5B,3,6,0,9,6,ONC
KLK10,0,3,6,9,9,ONC/TSG
LATS2,0,2,7,9,9,TSG
LRP1B,0,0,9,9,9,TSG
MEF2D,0,7,2,9,9,ONC
MLLT1,8,1,0,9,1,ONC
MMP9,0,8,1,9,9,ONC
MTSS1,0,3,6,9,9,ONC/TSG
MUC4,0,7,2,9,9,ONC
MYO18B,0,0,9,9,9,TSG
NME1,1,3,5,9,8,ONC/TSG
NOB1,0,9,0,9,9,ONC
NR0B2,0,1,8,9,9,TSG
NRG1,6,3,0,9,3,ONC
NTRK2,2,7,0,9,7,ONC
PAX3,1,7,1,9,8,ONC
PCGF2,0,1,8,9,9,TSG
PDGFRB,6,3,0,9,3,ONC
PHF6,5,0,4,9,4,TSG
PIM3,0,9,0,9,9,ONC
PPARG,0,4,5,9,9,ONC/TSG
PTK2,2,5,2,9,7,ONC/TSG
PTPRG,0,0,9,9,9,TSG
RASAL1,0,0,9,9,9,TSG
RHOC,2,7,0,9,7,ONC
SETBP1,2,7,0,9,7,ONC
SETD7,0,1,8,9,9,TSG
SLIT2,0,0,9,9,9,TSG
SMARCA1,2,1,6,9,7,TSG
SPHK1,0,9,0,9,9,ONC
SS18,0,9,0,9,9,ONC
UBE2C,0,9,0,9,9,ONC
USP39,0,9,0,9,9,ONC
YEATS4,1,8,0,9,8,ONC
ZIC2,0,9,0,9,9,ONC
ACTL6A,0,7,1,8,8,ONC
AJAP1,0,0,8,8,8,TSG
ALKBH5,0,8,0,8,8,ONC
ATF1,0,6,2,8,8,ONC
ATRX,7,0,1,8,1,TSG
BDNF,0,6,2,8,8,ONC
BHLHE41,0,2,6,8,8,TSG
BRD4,3,4,1,8,5,ONC
CD8A,6,2,0,8,2,ONC
CDK1,1,4,3,8,7,ONC/TSG
CDK12,1,1,6,8,7,TSG
CEP55,0,8,0,8,8,ONC
CFLAR,1,7,0,8,7,ONC
CLU,0,4,4,8,8,ONC/TSG
CYGB,0,1,7,8,8,TSG
DDX58,1,2,5,8,7,ONC/TSG
DEPTOR,0,5,3,8,8,ONC/TSG
DNAH8,1,6,1,8,7,ONC
DPP4,0,2,6,8,8,TSG
EHF,0,3,5,8,8,ONC/TSG
ELF3,2,4,2,8,6,ONC/TSG
ERRFI1,0,1,7,8,8,TSG
FABP3,0,6,2,8,8,ONC
FBXO11,0,4,4,8,8,ONC/TSG
FES,1,6,1,8,7,ONC
FRK,0,2,6,8,8,TSG
FSCN1,0,7,1,8,8,ONC
GATA4,0,1,7,8,8,TSG
GLI2,3,5,0,8,5,ONC
GRM1,0,8,0,8,8,ONC
HDAC9,1,4,3,8,7,ONC/TSG
HOXB13,0,1,7,8,8,TSG
ILF3,0,7,1,8,8,ONC
INPP5D,0,1,7,8,8,TSG
JUNB,0,6,2,8,8,ONC
KCTD11,0,0,8,8,8,TSG
KDR,2,6,0,8,6,ONC
LCN2,1,4,3,8,7,ONC/TSG
LPA,2,5,1,8,6,ONC
MLLT11,0,8,0,8,8,ONC
MMP14,5,3,0,8,3,ONC
MN1,2,4,2,8,6,ONC/TSG
MTAP,0,2,6,8,8,TSG
MXI1,0,0,8,8,8,TSG
MYH9,0,5,3,8,8,ONC/TSG
NEUROG1,0,4,4,8,8,ONC/TSG
NUAK1,0,8,0,8,8,ONC
PAK4,2,6,0,8,6,ONC
PAQR3,0,0,8,8,8,TSG
PBK,1,7,0,8,7,ONC
PCDH8,0,0,8,8,8,TSG
PDX1,0,4,4,8,8,ONC/TSG
PLAGL2,0,8,0,8,8,ONC
POU3F2,3,5,0,8,5,ONC
PPP1R13L,0,8,0,8,8,ONC
PSMA6,0,8,0,8,8,ONC
PTK2B,1,6,1,8,7,ONC
PTPN13,0,1,7,8,8,TSG
RBM5,0,0,8,8,8,TSG
RNF6,0,5,3,8,8,ONC/TSG
ROCK1,0,6,2,8,8,ONC
ROR1,1,7,0,8,7,ONC
RRM2,0,8,0,8,8,ONC
S100A4,2,2,4,8,6,ONC/TSG
SATB1,1,7,0,8,7,ONC
SENP2,0,0,8,8,8,TSG
SFN,0,6,2,8,8,ONC
SLC2A1,1,6,1,8,7,ONC
SLC39A1,0,0,8,8,8,TSG
SMYD4,0,0,8,8,8,TSG
STAT5A,3,3,2,8,5,ONC/TSG
SULF2,0,7,1,8,8,ONC
TCF4,0,6,2,8,8,ONC
TP53INP2,0,8,0,8,8,ONC
TPD52,0,8,0,8,8,ONC
TRAF3,0,1,7,8,8,TSG
TSC1,3,2,3,8,5,ONC/TSG
TXNIP,0,0,8,8,8,TSG
VIM,1,5,2,8,7,ONC/TSG
ZHX2,1,3,4,8,7,ONC/TSG
ABCB1,0,7,0,7,7,ONC
AFAP1,0,7,0,7,7,ONC
AFF1,2,5,0,7,5,ONC
AGR2,0,7,0,7,7,ONC
AKAP12,0,1,6,7,7,TSG
AKT3,1,2,4,7,6,ONC/TSG
AMOT,0,3,4,7,7,ONC/TSG
ARID1B,1,1,5,7,6,TSG
AZGP1,0,0,7,7,7,TSG
BIRC3,3,4,0,7,4,ONC
BLCAP,0,0,7,7,7,TSG
BRIP1,0,1,6,7,7,TSG
CASZ1,0,0,7,7,7,TSG
CCBE1,0,3,4,7,7,ONC/TSG
CCND2,0,3,4,7,7,ONC/TSG
CCND3,0,7,0,7,7,ONC
CLCA2,0,0,7,7,7,TSG
CLDN1,0,1,6,7,7,TSG
CXCL1,1,6,0,7,6,ONC
DCUN1D1,0,6,1,7,7,ONC
DKK1,0,3,4,7,7,ONC/TSG
DNAJB4,0,3,4,7,7,ONC/TSG
DTL,0,7,0,7,7,ONC
E2F2,0,2,5,7,7,ONC/TSG
EHMT2,1,4,2,7,6,ONC/TSG
EIF2AK2,0,2,5,7,7,ONC/TSG
EIF5A2,0,7,0,7,7,ONC
EPO,3,4,0,7,4,ONC
FGF3,0,7,0,7,7,ONC
FGF5,0,7,0,7,7,ONC
FOSL1,1,6,0,7,6,ONC
FOXD3,1,0,6,7,6,TSG
FOXK1,0,5,2,7,7,ONC/TSG
FYN,0,5,2,7,7,ONC/TSG
GLI3,0,7,0,7,7,ONC
GPX3,0,0,7,7,7,TSG
GSTP1,1,0,6,7,6,TSG
HMMR,1,5,1,7,6,ONC
HOXD10,0,1,6,7,7,TSG
IGF2R,0,2,5,7,7,ONC/TSG
ILF2,0,6,1,7,7,ONC
ING3,0,1,6,7,7,TSG
IRS2,0,7,0,7,7,ONC
ITIH5,1,1,5,7,6,TSG
KAT6A,1,6,0,7,6,ONC
KLF2,0,0,7,7,7,TSG
KLF8,0,7,0,7,7,ONC
